EIGENVECTOR1.X d	EIGENVECTOR1.Y d	EIGENVECTOR1.Z d	EIGENVECTOR2.X d	EIGENVECTOR2.Y d	EIGENVECTOR2.Z d	EIGENVECTOR3.X d	EIGENVECTOR3.Y d	EIGENVECTOR3.Z d	EIGENVALUE.X d	EIGENVALUE.Y d	EIGENVALUE.Z d	S_1.DIPDIR d	S_1.DIP d	S_2.DIPDIR d	S_2.DIP d	S_3.DIPDIR d	S_3.DIP d	stressratio d	delvaux_str d	regime s	delvaux_rgm s	shmax d	shmin d
-0.05456623	-0.05375436	-0.99706218	0.69077374	0.71900560	-0.07656755	0.72100913	-0.69292237	-0.00210132	1.00840870	-0.42575122	-0.58265748	225.42942350	85.60704830	43.85276357	4.39129507	133.86200921	0.12039681	0.09861705	0.09861705	EXTENSIONAL	RADIAL EXTENSIVE	999.99000000	133.86200921
-0.05456645	-0.05375412	-0.99706218	0.69077382	0.71900552	-0.07656753	0.72100903	-0.69292248	-0.00210164	1.00840870	-0.42575128	-0.58265742	225.42966831	85.60704887	43.85277022	4.39129400	133.86201725	0.12041497	0.09861698	0.09861698	EXTENSIONAL	RADIAL EXTENSIVE	999.99000000	133.86201725
-0.05456663	-0.05375393	-0.99706218	0.69077389	0.71900546	-0.07656751	0.72100895	-0.69292256	-0.00210190	1.00840870	-0.42575133	-0.58265737	225.42986877	85.60704933	43.85277566	4.39129313	133.86202384	0.12042985	0.09861692	0.09861692	EXTENSIONAL	RADIAL EXTENSIVE	999.99000000	133.86202384
-0.05456678	-0.05375377	-0.99706218	0.69077395	0.71900540	-0.07656750	0.72100889	-0.69292263	-0.00210211	1.00840870	-0.42575137	-0.58265733	225.43003291	85.60704971	43.85278012	4.39129241	133.86202923	0.12044203	0.09861688	0.09861688	EXTENSIONAL	RADIAL EXTENSIVE	999.99000000	133.86202923
-0.05456690	-0.05375363	-0.99706218	0.69077400	0.71900536	-0.07656749	0.72100883	-0.69292268	-0.00210228	1.00840870	-0.42575140	-0.58265730	225.43016732	85.60705002	43.85278377	4.39129183	133.86203364	0.12045200	0.09861684	0.09861684	EXTENSIONAL	RADIAL EXTENSIVE	999.99000000	133.86203364
-0.05456700	-0.05375353	-0.99706218	0.69077403	0.71900532	-0.07656748	0.72100879	-0.69292273	-0.00210242	1.00840870	-0.42575143	-0.58265727	225.43027738	85.60705028	43.85278676	4.39129134	133.86203726	0.12046017	0.09861681	0.09861681	EXTENSIONAL	RADIAL EXTENSIVE	999.99000000	133.86203726
-0.05456708	-0.05375344	-0.99706219	0.69077407	0.71900529	-0.07656747	0.72100875	-0.69292276	-0.00210254	1.00840870	-0.42575145	-0.58265725	225.43036750	85.60705049	43.85278921	4.39129095	133.86204022	0.12046686	0.09861678	0.09861678	EXTENSIONAL	RADIAL EXTENSIVE	999.99000000	133.86204022
-0.05456715	-0.05375337	-0.99706219	0.69077409	0.71900527	-0.07656747	0.72100873	-0.69292279	-0.00210264	1.00840870	-0.42575147	-0.58265723	225.43044130	85.60705066	43.85279121	4.39129063	133.86204264	0.12047233	0.09861676	0.09861676	EXTENSIONAL	RADIAL EXTENSIVE	999.99000000	133.86204264
-0.05456721	-0.05375331	-0.99706219	0.69077411	0.71900525	-0.07656746	0.72100870	-0.69292282	-0.00210272	1.00840870	-0.42575148	-0.58265722	225.43050173	85.60705080	43.85279285	4.39129037	133.86204463	0.12047682	0.09861674	0.09861674	EXTENSIONAL	RADIAL EXTENSIVE	999.99000000	133.86204463
-0.05456725	-0.05375326	-0.99706219	0.69077413	0.71900523	-0.07656746	0.72100868	-0.69292284	-0.00210278	1.00840870	-0.42575149	-0.58265720	225.43055121	85.60705092	43.85279420	4.39129015	133.86204625	0.12048049	0.09861673	0.09861673	EXTENSIONAL	RADIAL EXTENSIVE	999.99000000	133.86204625
-0.05456729	-0.05375322	-0.99706219	0.69077414	0.71900522	-0.07656746	0.72100867	-0.69292286	-0.00210283	1.00840870	-0.42575150	-0.58265719	225.43059173	85.60705101	43.85279530	4.39128997	133.86204759	0.12048350	0.09861672	0.09861672	EXTENSIONAL	RADIAL EXTENSIVE	999.99000000	133.86204759
-0.05456732	-0.05375319	-0.99706219	0.69077415	0.71900521	-0.07656745	0.72100865	-0.69292287	-0.00210288	1.00840870	-0.42575151	-0.58265719	225.43062490	85.60705109	43.85279620	4.39128983	133.86204868	0.12048596	0.09861671	0.09861671	EXTENSIONAL	RADIAL EXTENSIVE	999.99000000	133.86204868
-0.05456734	-0.05375316	-0.99706219	0.69077416	0.71900520	-0.07656745	0.72100864	-0.69292288	-0.00210291	1.00840870	-0.42575152	-0.58265718	225.43065207	85.60705115	43.85279694	4.39128971	133.86204957	0.12048797	0.09861670	0.09861670	EXTENSIONAL	RADIAL EXTENSIVE	999.99000000	133.86204957
-0.05456736	-0.05375314	-0.99706219	0.69077417	0.71900519	-0.07656745	0.72100863	-0.69292289	-0.00210294	1.00840870	-0.42575152	-0.58265717	225.43067432	85.60705120	43.85279754	4.39128961	133.86205030	0.12048963	0.09861669	0.09861669	EXTENSIONAL	RADIAL EXTENSIVE	999.99000000	133.86205030
