ID s	INT d	DIP d	FREQ d	FREQ_NRM d	FREQ_MAX d
W_TST_0802	0.71000000	54.98000000	0.98694067	0.00986095	72.24375572
W_TST_0801	0.46000000	18.48000000	6.50468606	0.06499110	72.24375572
W_TST_0798	4.31000000	2.83000000	0.23201856	0.00231820	72.24375572
W_TST_0795	4.21000000	46.97000000	0.22173265	0.00221543	72.24375572
W_TST_0794	0.95000000	63.06000000	0.53495483	0.00534496	72.24375572
W_TST_0793	0.95000000	3.35000000	1.05263158	0.01051729	72.24375572
W_TST_0790	0.26000000	19.15000000	11.07576112	0.11066266	72.24375572
W_TST_0789	0.31000000	33.21000000	4.92767167	0.04923447	72.24375572
W_TST_0788	0.15000000	44.68000000	6.74155307	0.06735773	72.24375572
W_TST_0787	0.29000000	18.35000000	10.39618144	0.10387269	72.24375572
W_TST_0785	2.19000000	9.68000000	2.67696898	0.02674674	72.24375572
W_TST_0784	4.31000000	26.33000000	0.46883571	0.00468434	72.24375572
W_TST_0783	1.28000000	43.17000000	0.83282017	0.00832106	72.24375572
W_TST_0782	0.44000000	12.00000000	10.69234116	0.10683175	72.24375572
W_TST_0781	0.46000000	24.37000000	4.79904234	0.04794928	72.24375572
W_TST_0780	0.29000000	37.50000000	4.49388060	0.04490028	72.24375572
W_TST_0779	0.72000000	19.34000000	3.95718561	0.03953793	72.24375572
W_TST_0778	2.57000000	56.56000000	0.25695745	0.00256737	72.24375572
W_TST_0777	0.16000000	23.46000000	14.40150220	0.14389156	72.24375572
W_TST_0775	0.27000000	8.69000000	24.23209710	0.24211323	72.24375572
W_TST_0774	1.34000000	0.95000000	0.74626866	0.00745629	72.24375572
W_TST_0773	0.25000000	1.47000000	4.00000000	0.03996571	72.24375572
W_TST_0772	0.89000000	32.58000000	1.75826923	0.01756762	72.24375572
W_TST_0771	0.40000000	13.81000000	10.17051358	0.10161794	72.24375572
W_TST_0769	0.78000000	2.19000000	1.28205128	0.01280952	72.24375572
W_TST_0768	0.22000000	0.77000000	4.54545455	0.04541558	72.24375572
W_TST_0767	2.60000000	43.06000000	0.41158453	0.00411232	72.24375572
W_TST_0766	0.72000000	71.50000000	0.46471572	0.00464317	72.24375572
W_TST_0765	0.29000000	27.32000000	6.67519396	0.06669471	72.24375572
W_TST_0764	0.10000000	4.40000000	10.00000000	0.09991427	72.24375572
W_TST_0763	1.67000000	4.52000000	0.59880240	0.00598289	72.24375572
W_TST_0762	0.57000000	35.04000000	2.50180364	0.02499659	72.24375572
W_TST_0761	0.74000000	39.65000000	1.63060382	0.01629206	72.24375572
W_TST_0759	0.38000000	28.42000000	4.86294541	0.04858776	72.24375572
W_TST_0757	0.16000000	32.73000000	9.72417209	0.09715835	72.24375572
W_TST_0756	0.56000000	23.83000000	4.04302157	0.04039555	72.24375572
W_TST_0751	0.29000000	18.27000000	10.44496514	0.10436011	72.24375572
W_TST_0749	0.12000000	40.35000000	9.80896364	0.09800554	72.24375572
W_TST_0748	0.17000000	37.36000000	7.70494044	0.07698335	72.24375572
W_TST_0747	0.20000000	38.16000000	6.36300234	0.06357547	72.24375572
W_TST_0746	0.13000000	19.56000000	21.65032719	0.21631766	72.24375572
