DEPTH d	SIZE i	MIN d	MAX d	INT_AV_D.X d	INT_AV_D.Y d	INT_AV_D.Z d	INT_AV_DD.DIPDIR d	INT_AV_DD.DIP d	INT_AV_DD_STDEV d	INT_AV_D_STDEV d	DD_DERIV d	D_DERIV d
1436.90000000	7	1428.84000000	1448.84000000	-0.06223970	-0.99795791	-0.01436090	183.56874687	0.82284733	94.00757388	2.48980382	0.00000000	0.00000000
1436.90000000	7	1429.84000000	1449.84000000	-0.06223970	-0.99795791	-0.01436090	183.56874687	0.82284733	94.00757388	2.48980382	0.00000000	0.00000000
1436.90000000	7	1430.84000000	1450.84000000	-0.06223970	-0.99795791	-0.01436090	183.56874687	0.82284733	94.00757388	2.48980382	0.00000000	0.00000000
1436.90000000	7	1431.84000000	1451.84000000	-0.06223970	-0.99795791	-0.01436090	183.56874687	0.82284733	94.00757388	2.48980382	0.00000000	0.00000000
1436.90000000	7	1432.84000000	1452.84000000	-0.06223970	-0.99795791	-0.01436090	183.56874687	0.82284733	94.00757388	2.48980382	0.07903348	0.00637159
1439.13500000	5	1433.84000000	1453.84000000	0.24376891	-0.96903915	-0.03924081	165.87980711	2.24891009	66.16205615	1.27023403	0.26270119	0.02021570
1439.78000000	3	1434.84000000	1454.84000000	0.51536592	-0.85472444	-0.06200081	148.91164150	3.55466468	14.12333171	0.59062965	0.81730398	0.02049161
1440.32000000	4	1435.84000000	1455.84000000	-0.22658755	-0.97305491	-0.04268745	193.10841050	2.44655438	55.63363443	2.91776541	0.03215240	0.00052559
1448.03500000	5	1436.84000000	1456.84000000	-0.61457027	-0.78805813	-0.03560569	217.94902909	2.04048678	68.05103592	3.06460841	0.00000000	0.00000000
1448.03500000	5	1437.84000000	1457.84000000	-0.61457027	-0.78805813	-0.03560569	217.94902909	2.04048678	68.05103592	3.06460841	0.00000000	0.00000000
1448.03500000	5	1438.84000000	1458.84000000	-0.61457027	-0.78805813	-0.03560569	217.94902909	2.04048678	68.05103592	3.06460841	0.05773319	0.00134098
1456.21500000	3	1439.84000000	1459.84000000	-0.99505805	-0.08283157	-0.05475770	265.24150125	3.13895505	80.63128866	2.77445107	0.01656080	0.00918791
1460.40000000	4	1440.84000000	1460.84000000	-0.97194920	-0.20126302	-0.12168790	258.30101638	6.98952631	18.55057225	1.78171488	0.10763700	0.03285777
1460.59000000	6	1441.84000000	1461.84000000	-0.96536824	-0.23617010	-0.11085052	256.25302406	6.36434657	19.51376297	1.81288157	0.00000000	0.00000000
1460.59000000	6	1442.84000000	1462.84000000	-0.96536824	-0.23617010	-0.11085052	256.25302406	6.36434657	19.51376297	1.81288157	0.00000000	0.00000000
1460.59000000	6	1443.84000000	1463.84000000	-0.96536824	-0.23617010	-0.11085052	256.25302406	6.36434657	19.51376297	1.81288157	0.08800609	0.02725384
1460.95000000	7	1444.84000000	1464.84000000	-0.97868446	-0.18270115	-0.09379246	259.42571957	5.38182227	42.72800974	2.37303803	0.00000000	0.00000000
