DEPTH d	FREQ d	DERIV_DEPTH d	DERIV d
1370.37000000	0.33348224	1373.79500000	0.01133573
1377.22000000	0.01660178	1380.71000000	0.00174086
1384.20000000	0.06618965	1384.45750000	0.00980960
1384.71500000	0.04557320	1384.92000000	0.05188134
1385.12500000	0.13237931	1385.28500000	0.05186437
1385.44500000	0.06465036	1385.63500000	0.01263334
1385.82500000	0.08424138	1386.35500000	0.01588416
1386.88500000	0.01553053	1387.47500000	0.00690294
1388.06500000	0.04877132	1389.64750000	0.00340236
1391.23000000	0.00482633	1392.74750000	0.00685074
1394.26500000	0.08967631	1394.49500000	0.02349395
1394.72500000	0.04557320	1396.80000000	0.00247750
1398.87500000	0.00361504	1400.92250000	0.00311073
1402.97000000	0.05559931	1403.60000000	0.01203960
1404.23000000	0.11750604	1407.57250000	0.00421750
1410.91500000	0.00244931	1414.55750000	0.00159711
1418.20000000	0.04993029	1421.16250000	0.00193178
1424.12500000	0.00322128	1426.60000000	0.00092415
1429.07500000	0.02188949	1429.66750000	0.04288629
1430.26000000	0.22928154	1434.37250000	0.00677694
1438.48500000	0.00181105	1442.40500000	0.00257641
1446.32500000	0.08424138	1446.45750000	0.05063347
1446.59000000	0.13899827	1446.73250000	0.05491064
1446.87500000	0.07513420	1447.06500000	0.00248464
1447.25500000	0.07128117	1447.84500000	0.01187212
1448.43500000	0.01411150	1449.64250000	0.00924044
1450.85000000	0.10517930	1452.36750000	0.00779289
1453.88500000	0.00866033	1456.23250000	0.00021723
1458.58000000	0.00449833	1460.24250000	0.00402756
1461.90500000	0.05914820	1464.10750000	0.00310491
1466.31000000	0.00333329	1472.17750000	0.00003124
1478.04500000	0.00183739	1481.89500000	0.00321817
1485.74500000	0.10296168	1486.16000000	0.02449320
1486.57500000	0.01999975	1487.03000000	0.01202350
1487.48500000	0.06465036	1487.75000000	0.00948919
1488.01500000	0.04412644	1488.63500000	0.00575056
1489.25500000	0.01502684	1489.78750000	0.22663112
1490.32000000	1.00000000	1496.87000000	0.01848044
1503.42000000	0.01204106	1509.92750000	0.00453154
1516.43500000	0.25272414	1516.51750000	1.00000000
1516.60000000	0.92607154	1537.64750000	0.00538241
1558.69500000	0.00145367	1595.00750000	0.00000337
1631.32000000	0.00045365	1646.86500000	0.00023988
1662.41000000	0.03088851	1663.31500000	0.00279812
1664.22000000	0.01022046	1665.01250000	0.00797075
1665.80500000	0.06177701	1670.57500000	0.00154848
1675.34500000	0.00149220	1695.32500000	0.00000637
1715.30500000	0.00045358	1731.04500000	0.00012605
1746.78500000	0.01664650	NAN	NAN
1365.47000000	0.05123293	1366.06000000	0.22843415
1366.65000000	0.50801652	1369.61500000	0.04946675
1372.58000000	0.01092597	1381.16500000	0.00025070
1389.75000000	0.00363151	1395.51500000	0.01109358
1401.28000000	0.22038622	1401.41250000	1.00000000
1401.54500000	0.66945547	1407.34250000	0.03384908
1413.14000000	0.00435843	1419.06500000	0.00618624
1424.99000000	0.12858445	1427.80250000	0.01248720
1430.61500000	0.00955483	1433.35500000	0.02513584
1436.09500000	0.24297659	1436.30250000	0.07600040
1436.51000000	0.18952860	1436.82000000	0.02679898
1437.13000000	0.16137218	1437.45750000	0.11619557
1437.78500000	0.29034503	1438.09250000	0.08259324
1438.40000000	0.20426805	1439.13750000	0.05377135
1439.87500000	0.06986459	1440.55000000	0.06740473
1441.22500000	0.22406715	1442.01750000	0.06816880
1442.81000000	0.04096968	1446.73500000	0.00248755
1450.66000000	0.00787873	1455.45000000	0.00063611
1460.24000000	0.01820545	1461.87500000	0.05125589
1463.51000000	0.30223205	1471.01000000	0.01172663
1478.51000000	0.00415276	1486.83750000	0.00073878
1495.16500000	0.02500385	1496.83750000	0.00271995
1498.51000000	0.04042174	1499.34250000	0.14257060
1500.17500000	0.44268621	1500.32250000	0.11304162
1500.47000000	0.38617588	1500.62750000	0.15283744
1500.78500000	0.30459136	1501.05750000	0.12915576
1501.33000000	0.18530859	1502.06000000	0.05009783
1502.79000000	0.06136068	1503.52750000	0.03163263
1504.26500000	0.14042759	1504.69000000	0.00841267
1505.11500000	0.15254530	1505.44500000	0.14815775
1505.77500000	0.31825035	1506.07000000	0.16564641
1506.36500000	0.15263466	1506.68250000	0.11333403
1507.00000000	0.27459019	1509.61250000	0.02998214
1512.22500000	0.00911960	1517.26000000	0.00001722
1522.29500000	0.00882567	1525.26000000	0.00498671
1528.22500000	0.05893702	1528.96250000	0.00527486
1529.70000000	0.07212172	1530.33250000	0.00296305
1530.96500000	0.07847351	1533.65500000	0.00760605
1536.34500000	0.00912947	1538.88500000	0.01742280
1541.42500000	0.15911489	1541.76250000	0.02249208
1542.10000000	0.18484259	1542.36000000	0.16931295
1542.62000000	0.33403989	1544.14000000	0.06122430
1545.66000000	0.01863758	1547.22750000	0.02765970
1548.79500000	0.16558180	1549.89250000	0.03561528
1550.99000000	0.03310545	1552.19500000	0.01438029
1553.40000000	0.09183440	1553.86750000	0.01763936
1554.33500000	0.11978312	1554.74500000	0.01729483
1555.15500000	0.14381555	1555.40750000	0.38400130
1555.66000000	0.47243368	1555.79750000	0.02470643
1555.93500000	0.46092011	1556.21500000	0.36588539
1556.49500000	0.11370346	1557.88500000	0.01947747
1559.27500000	0.02194526	1560.49250000	0.17967536
1561.71000000	0.76334931	1561.92000000	0.80079812
1562.13000000	0.19339533	1562.53500000	0.01985468
1562.94000000	0.16614227	1564.12000000	0.03287676
1565.30000000	0.03465962	1566.66750000	0.00457389
1568.03500000	0.05585840	1568.97500000	0.00460456
1569.91500000	0.07052782	1570.69000000	0.02479969
1571.46500000	0.13566746	1572.09500000	0.03398871
1572.72500000	0.06309486	1573.28500000	0.04657791
1573.84500000	0.15149755	1577.80500000	0.01075503
1581.76500000	0.00715170	1585.81000000	0.00562016
1589.85500000	0.08420026	1590.17000000	0.42708984
1590.48500000	0.54016078	1590.62000000	0.42296181
1590.75500000	0.34663788	1590.96500000	0.06402806
1591.17500000	0.30106703	1591.68500000	0.11640088
1592.19500000	0.09986892	1592.80000000	0.03903569
1593.40500000	0.17991033	1593.84000000	0.00463527
1594.27500000	0.17307653	1594.96750000	0.04006008
1595.66000000	0.07905463	1596.91500000	0.01002023
1598.17000000	0.03643410	1599.34250000	0.01574862
1600.51500000	0.09901658	1601.08000000	0.06358863
1601.64500000	0.22078239	1601.96750000	0.01482357
1602.29000000	0.20457997	1603.13500000	0.05321622
1603.98000000	0.05217533	1605.69000000	0.00356128
1607.40000000	0.03153583	1610.03500000	0.00209213
1612.67000000	0.01285201	1616.55000000	0.00025762
1620.43000000	0.01623976	1625.68750000	0.00019834
1630.94500000	0.01270558	1634.32750000	0.00791985
1637.71000000	0.10349859	1640.00500000	0.01064494
1642.30000000	0.02069992	1644.38750000	0.02106269
1646.47500000	0.16971757	1649.44250000	0.01566868
1652.41000000	0.01213053	1655.47000000	0.01002074
1658.53000000	0.11605525	1659.04750000	0.01322723
1659.56500000	0.13925465	1660.63000000	0.02650373
1661.69500000	0.04358943	1662.60250000	0.06794319
1663.51000000	0.25256236	1664.24500000	0.07920926
1664.98000000	0.05524706	1665.66500000	0.27393160
1666.35000000	0.69120757	1668.59500000	0.08922340
1670.84000000	0.01232832	1673.98250000	0.00214496
1677.12500000	0.03517337	1679.92250000	0.00153197
1682.72000000	0.02064834	1685.22000000	0.00453959
1687.72000000	0.05911229	1688.88750000	0.00190761
