DEPTH d	FREQ d	DERIV_DEPTH d	DERIV d
1447.25500000	0.32206187	1447.84500000	0.06424332
1448.43500000	0.05681180	1449.64250000	0.00355241
1450.85000000	0.02679352	1452.36750000	0.00130195
1453.88500000	0.04061961	1456.23250000	0.00120660
1458.58000000	0.02079771	1460.24250000	0.02170585
1461.90500000	0.27332835	1464.10750000	0.01686941
1466.31000000	0.01331758	1472.17750000	0.00010203
1478.04500000	0.00912822	1481.89500000	0.02129295
1485.74500000	0.58281124	1486.16000000	0.16085613
1486.57500000	0.11565597	1487.03000000	0.06229697
1487.48500000	0.31401585	1487.75000000	0.04274371
1488.01500000	0.23474862	1488.63500000	0.03456213
1489.25500000	0.08479127	1489.78750000	0.12339959
1490.32000000	0.54463350	1496.87000000	0.01174382
1503.42000000	0.00633136	1509.92750000	0.01874352
1516.43500000	0.85990453	1516.51750000	1.00000000
1516.60000000	0.28256741	1537.64750000	0.00191695
1558.69500000	0.00021845	1595.00750000	0.00000728
1631.32000000	0.00206874	1646.86500000	0.00094938
1662.41000000	0.10534639	1663.31500000	0.00966440
1664.22000000	0.04413966	1665.01250000	0.03361624
1665.80500000	0.23057314	1670.57500000	0.00672336
1675.34500000	0.00614344	1695.32500000	0.00003164
1715.30500000	0.00171996	1731.04500000	0.00049958
1746.78500000	0.05674815	NAN	NAN
1365.47000000	0.07230021	1366.06000000	0.25331968
1366.65000000	0.71542223	1369.61500000	0.05524495
1372.58000000	0.01058362	1381.16500000	0.00000126
1389.75000000	0.01053704	1395.51500000	0.01690315
1401.28000000	0.42985106	1401.41250000	1.00000000
1401.54500000	1.00000000	1407.34250000	0.03982118
1413.14000000	0.00659266	1419.06500000	0.01065901
1424.99000000	0.27834771	1427.80250000	0.02181424
1430.61500000	0.01434700	1433.35500000	0.03918342
1436.09500000	0.47632934	1436.30250000	0.09749571
1436.51000000	0.38927788	1436.82000000	0.15518678
1437.13000000	0.18226905	1437.45750000	0.04058097
1437.78500000	0.23945723	1438.09250000	0.03873664
1438.40000000	0.18820185	1439.13750000	0.04169941
1439.87500000	0.05587001	1440.55000000	0.10491378
1441.22500000	0.36059548	1442.01750000	0.08944935
1442.81000000	0.05556103	1446.73500000	0.00255096
1450.66000000	0.01247714	1455.45000000	0.00033520
1460.24000000	0.01938601	1461.87500000	0.05756401
1463.51000000	0.42437315	1471.01000000	0.01300251
1478.51000000	0.00474845	1486.83750000	0.00107570
1495.16500000	0.04329433	1496.83750000	0.00025144
1498.51000000	0.04510391	1499.34250000	0.10395011
1500.17500000	0.41747988	1500.32250000	0.18534797
1500.47000000	0.53511914	1500.62750000	0.15017835
1500.78500000	0.43333964	1501.05750000	0.21995045
1501.33000000	0.17543224	1502.06000000	0.03666634
1502.79000000	0.06025601	1503.52750000	0.03897247
1504.26500000	0.18393400	1504.69000000	0.02970665
1505.11500000	0.12960708	1505.44500000	0.14302816
1505.77500000	0.33270614	1506.07000000	0.12873277
1506.36500000	0.16929429	1506.68250000	0.06962471
1507.00000000	0.26441598	1509.61250000	0.02217382
1512.22500000	0.01514644	1517.26000000	0.00005725
1522.29500000	0.01638674	1525.26000000	0.00606118
1528.22500000	0.09371789	1528.96250000	0.01216968
1529.70000000	0.13233802	1530.33250000	0.00053260
1530.96500000	0.13378758	1533.65500000	0.00985277
1536.34500000	0.01974084	1538.88500000	0.01753438
1541.42500000	0.21138541	1541.76250000	0.01488409
1542.10000000	0.18976975	1542.36000000	0.15537561
1542.62000000	0.36360132	1544.14000000	0.05192283
1545.66000000	0.02399610	1547.22750000	0.03998333
1548.79500000	0.29368246	1549.89250000	0.05452863
1550.99000000	0.03616806	1552.19500000	0.02541275
1553.40000000	0.16793645	1553.86750000	0.02451953
1554.33500000	0.21726135	1554.74500000	0.03662141
1555.15500000	0.28187011	1555.40750000	0.43701145
1555.66000000	0.75668751	1555.79750000	0.17397084
1555.93500000	0.65375523	1556.21500000	0.32318376
1556.49500000	0.26436953	1557.88500000	0.03744709
1559.27500000	0.04039156	1560.49250000	0.18189058
1561.71000000	0.99330097	1561.92000000	0.90749386
1562.13000000	0.17326023	1562.53500000	0.03213058
1562.94000000	0.11726565	1564.12000000	0.01752336
1565.30000000	0.02828988	1566.66750000	0.01037056
1568.03500000	0.08931404	1568.97500000	0.00880806
1569.91500000	0.05368692	1570.69000000	0.01028169
1571.46500000	0.08797464	1572.09500000	0.00506206
1572.72500000	0.07425193	1573.28500000	0.02670944
1573.84500000	0.13861329	1577.80500000	0.00768779
1581.76500000	0.00761395	1585.81000000	0.00868840
1589.85500000	0.15884138	1590.17000000	0.47540032
1590.48500000	0.80322199	1590.62000000	0.76800862
1590.75500000	0.35708082	1590.96500000	0.11410793
1591.17500000	0.25396922	1591.68500000	0.08040662
1592.19500000	0.07751402	1592.80000000	0.02311107
1593.40500000	0.13767957	1593.84000000	0.00144439
1594.27500000	0.14038320	1594.96750000	0.02236617
1595.66000000	0.07373571	1596.91500000	0.00394500
1598.17000000	0.05243163	1599.34250000	0.00345054
1600.51500000	0.06984058	1601.08000000	0.03972719
1601.64500000	0.16642535	1601.96750000	0.03704441
1602.29000000	0.21783266	1603.13500000	0.04787492
1603.98000000	0.04375733	1605.69000000	0.00167684
1607.40000000	0.03141890	1610.03500000	0.00113056
1612.67000000	0.04423768	1616.55000000	0.00164366
1620.43000000	0.01679565	1625.68750000	0.00030023
1630.94500000	0.01000363	1634.32750000	0.00391357
1637.71000000	0.06696532	1640.00500000	0.00540806
1642.30000000	0.01355849	1644.38750000	0.01764642
1646.47500000	0.17206810	1649.44250000	0.01267457
1652.41000000	0.01022420	1655.47000000	0.00765309
1658.53000000	0.11099404	1659.04750000	0.00125272
1659.56500000	0.11378360	1660.63000000	0.01744560
1661.69500000	0.03383555	1662.60250000	0.09753599
1663.51000000	0.41471186	1664.24500000	0.11761641
1664.98000000	0.04272491	1665.66500000	0.25937502
1666.35000000	0.80724896	1668.59500000	0.08218872
1670.84000000	0.01328462	1673.98250000	0.00128463
1677.12500000	0.03065566	1679.92250000	0.00137509
1682.72000000	0.01410279	1685.22000000	0.00249053
1687.72000000	0.04089471	1688.88750000	0.00220163
1690.05500000	0.05195518	1691.50750000	0.00387330
1692.96000000	0.02774660	1694.47250000	0.00266447
1695.98500000	0.04508777	1696.85500000	0.01261649
1697.72500000	0.09231911	1701.76500000	0.00491582
1705.80500000	0.00686169	1710.43500000	0.00112428
1715.06500000	0.02926060	1715.97250000	0.19389957
1716.88000000	0.78643498	1719.05750000	0.08195795
1721.23500000	0.01850488	1724.94000000	0.00010926
1728.64500000	0.01676295	1731.53000000	0.00034165
1734.41500000	0.02100429	1736.92500000	0.00026229
1739.43500000	0.02383713	1742.65250000	0.00078662
1745.87000000	0.01294647	1747.97250000	0.04838401
1750.07500000	0.45068053	1750.21250000	0.16213617
1750.35000000	0.54661066	1751.55750000	0.09997303
1752.76500000	0.02716223	1755.78000000	0.00085675
1758.79500000	0.01604709	1764.36500000	0.00037610
1769.93500000	0.00703286	1775.07750000	0.00050806
1780.22000000	0.01827531	1781.78750000	0.03604303
1783.35500000	0.26138447	1783.82750000	0.09027472
1784.30000000	0.07784038	1785.86250000	0.00761429
1787.42500000	0.02664607	1789.55750000	0.00050875
1791.69000000	0.03131447	1793.07000000	0.00488278
1794.45000000	0.06030920	1795.81000000	0.00533699
1797.17000000	0.02907662	1798.28750000	0.01895360
1799.40500000	0.12021717	1800.71500000	0.01705085
1802.02500000	0.02410249	1803.89250000	0.00155132
1805.76000000	0.03656870	1808.26500000	0.00197302
1810.77000000	0.01530148	1812.94500000	0.00520067
1815.12000000	0.06397480	NAN	NAN
1369.50000000	0.97886285	1371.86250000	0.12551539
1374.22500000	0.04255921	1382.29250000	0.00127615
1390.36000000	0.01005143	1397.67750000	0.00101285
1404.99500000	0.03345357	1406.73500000	0.02800714
1408.47500000	0.18732783	1409.08750000	0.03822122
1409.70000000	0.11340842	1416.31500000	0.00501873
1422.93000000	0.00858184	1430.96250000	0.00089554
1438.99500000	0.03129521	1440.93250000	0.06682698
1442.87000000	0.44012398	1443.14500000	0.03715204
1443.42000000	0.40786407	1443.93500000	0.16470260
1444.45000000	0.14003630	1444.92750000	0.29474364
1445.40500000	0.58442779	1459.76750000	0.01278709
1474.13000000	0.00453251	1488.57000000	0.00437397
1503.01000000	0.20396272	1504.41250000	0.03947553
1505.81500000	0.02914771	1508.86500000	0.00006246
1511.91500000	0.02854616	1514.25000000	0.00828235
1516.58500000	0.08961061	1517.14250000	0.51717127
1517.70000000	1.00000000	1517.93750000	1.00000000
1518.17500000	0.25008587	1518.57250000	0.02923879
1518.97000000	0.21338769	1519.45250000	0.03589895
1519.93500000	0.15869529	1520.97750000	0.02895173
1522.02000000	0.06339404	1523.03750000	0.03782856
1524.05500000	0.18492925	1525.28750000	0.03326613
1526.52000000	0.05546880	1528.12000000	0.00096274
1529.72000000	0.06033261	1530.57000000	0.04129101
1531.42000000	0.17115369	1536.97000000	0.00925483
1542.52000000	0.00896925	1548.30000000	0.00410947
1554.08000000	0.08396930	1554.92500000	0.02637411
1555.77000000	0.15433847	1560.10000000	0.01025418
1564.43000000	0.01414204	1572.79750000	0.00026141
1581.16500000	0.00723542	1590.70500000	0.00001123
1600.24500000	0.00689718	1612.15750000	0.00004166
1624.07000000	0.00846424	1656.30500000	0.00006751
1688.54000000	0.00159259	1724.82000000	0.00001252
1761.10000000	0.00302719	1772.42250000	0.00243196
1783.74500000	0.08997253	NAN	NAN
1367.92500000	0.01186861	1369.22500000	0.01016861
1370.52500000	0.08142205	1371.04250000	0.01774269
1371.56000000	0.12973275	1373.15250000	0.01450162
1374.74500000	0.00822348	1377.58750000	0.00001177
1380.43000000	0.00839948	1382.64500000	0.00280549
1384.86000000	0.04109554	1385.80750000	0.01440141
1386.75500000	0.11289115	1387.32500000	0.02814302
1387.89500000	0.02848792	1389.00500000	0.00141484
1390.11500000	0.03675101	1391.05000000	0.00521556
1391.98500000	0.06240922	1392.30250000	0.04723208
1392.62000000	0.14131238	1393.41750000	0.03032776
1394.21500000	0.01405454	1395.00250000	0.04123124
1395.79000000	0.18489490	1395.93750000	0.26839077
1396.08500000	0.39318717	1396.22750000	0.03828469
1396.37000000	0.42189191	1396.53500000	0.03918754
1396.70000000	0.38787104	1398.13250000	0.04928513
1399.56500000	0.01640071	1401.13250000	0.00822760
1402.70000000	0.08425766	1403.06750000	0.02454068
1403.43500000	0.13170999	1403.70750000	0.02417035
1403.98000000	0.09705522	1404.33750000	0.01927211
1404.69500000	0.06080432	1405.15000000	0.00423764
1405.60500000	0.07094924	1407.32250000	0.00356974
1409.04000000	0.03869052	1410.75750000	0.01008069
1412.47500000	0.12978678	1412.87250000	0.02975479
1413.27000000	0.06755566	1413.60000000	0.03123543
1413.93000000	0.12179009	1414.13750000	0.07952089
1414.34500000	0.20860871	1414.45000000	0.08886252
1414.55500000	0.25770193	1414.75250000	0.15799673
1414.95000000	0.09351871	1418.85000000	0.00433679
1422.75000000	0.00452760	1426.60500000	0.01043315
1430.46000000	0.21614591	1430.65000000	0.08407465
1430.84000000	0.13209697	1431.10000000	0.11926021
1431.36000000	0.29524525	1431.59750000	0.10940105
1431.83500000	0.15853576	1432.30750000	0.03672678
1432.78000000	0.06722999	1433.52000000	0.00559262
1434.26000000	0.04545488	1436.90000000	0.00236754
1439.54000000	0.01256853	1442.21500000	0.00588533
