CENTER.X d	CENTER.Y d	CENTER.Z d	COUNT i
-0.07241379	0.14482759	NAN	51
0.00000000	0.14482759	NAN	51
0.07241379	0.14482759	NAN	52
0.14482759	0.14482759	NAN	55
0.21724138	0.14482759	NAN	58
0.28965517	0.14482759	NAN	63
0.36206897	0.14482759	NAN	68
0.43448276	0.14482759	NAN	75
0.50689655	0.14482759	NAN	83
0.57931034	0.14482759	NAN	93
0.65172414	0.14482759	NAN	107
0.72413793	0.14482759	NAN	126
0.79655172	0.14482759	NAN	154
0.86896552	0.14482759	NAN	200
0.94137931	0.14482759	NAN	292
1.01379310	0.14482759	NAN	0
-1.01379310	0.21724138	NAN	0
-0.94137931	0.21724138	NAN	81
-0.86896552	0.21724138	NAN	82
-0.79655172	0.21724138	NAN	79
-0.72413793	0.21724138	NAN	76
-0.65172414	0.21724138	NAN	73
-0.57931034	0.21724138	NAN	70
-0.50689655	0.21724138	NAN	67
-0.43448276	0.21724138	NAN	64
-0.36206897	0.21724138	NAN	61
-0.28965517	0.21724138	NAN	58
-0.21724138	0.21724138	NAN	55
-0.14482759	0.21724138	NAN	53
-0.07241379	0.21724138	NAN	53
0.00000000	0.21724138	NAN	54
0.07241379	0.21724138	NAN	55
0.14482759	0.21724138	NAN	57
0.21724138	0.21724138	NAN	61
0.28965517	0.21724138	NAN	65
0.36206897	0.21724138	NAN	71
0.43448276	0.21724138	NAN	78
0.50689655	0.21724138	NAN	87
0.57931034	0.21724138	NAN	99
0.65172414	0.21724138	NAN	114
0.72413793	0.21724138	NAN	135
0.79655172	0.21724138	NAN	168
0.86896552	0.21724138	NAN	223
0.94137931	0.21724138	NAN	347
1.01379310	0.21724138	NAN	0
-1.01379310	0.28965517	NAN	0
-0.94137931	0.28965517	NAN	95
-0.86896552	0.28965517	NAN	94
-0.79655172	0.28965517	NAN	82
-0.72413793	0.28965517	NAN	77
-0.65172414	0.28965517	NAN	74
-0.57931034	0.28965517	NAN	70
-0.50689655	0.28965517	NAN	67
-0.43448276	0.28965517	NAN	64
-0.36206897	0.28965517	NAN	61
-0.28965517	0.28965517	NAN	58
-0.21724138	0.28965517	NAN	57
-0.14482759	0.28965517	NAN	56
-0.07241379	0.28965517	NAN	56
0.00000000	0.28965517	NAN	57
0.07241379	0.28965517	NAN	58
0.14482759	0.28965517	NAN	61
0.21724138	0.28965517	NAN	64
0.28965517	0.28965517	NAN	69
0.36206897	0.28965517	NAN	75
0.43448276	0.28965517	NAN	83
0.50689655	0.28965517	NAN	93
0.57931034	0.28965517	NAN	106
0.65172414	0.28965517	NAN	123
0.72413793	0.28965517	NAN	148
0.79655172	0.28965517	NAN	187
0.86896552	0.28965517	NAN	259
0.94137931	0.28965517	NAN	451
1.01379310	0.28965517	NAN	0
-1.01379310	0.36206897	NAN	0
-0.94137931	0.36206897	NAN	0
-0.86896552	0.36206897	NAN	93
