INT d	DIP d	FREQ d	FREQ_NRM d	FREQ_MAX d
0.27000000	69.50552096	1.38435131	0.24581524	5.63167403
0.52000000	68.47291678	0.75857041	0.13469714	5.63167403
0.68000000	71.57811676	0.48982350	0.08697654	5.63167403
0.70000000	71.90043600	0.46691708	0.08290911	5.63167403
0.47000000	70.75161032	0.74294490	0.13192257	5.63167403
0.64000000	69.31102352	0.59007603	0.10477809	5.63167403
0.54000000	69.38431786	0.69664388	0.12370103	5.63167403
0.54000000	70.60774134	0.65185876	0.11574867	5.63167403
0.55000000	67.39480539	0.75702946	0.13442352	5.63167403
0.69000000	68.24446581	0.57836451	0.10269851	5.63167403
0.45000000	71.96314958	0.72362424	0.12849185	5.63167403
0.65000000	68.57360966	0.60373408	0.10720331	5.63167403
1.07000000	73.94931686	0.26888126	0.04774446	5.63167403
1.30000000	71.22000352	0.26156787	0.04644585	5.63167403
0.48000000	74.66682026	0.57123245	0.10143209	5.63167403
0.26000000	68.67295503	1.50164455	0.26664266	5.63167403
0.33000000	50.26720262	2.51873765	0.44724493	5.63167403
0.49000000	63.21326951	1.03029733	0.18294690	5.63167403
1.11000000	66.75395986	0.38698382	0.06871559	5.63167403
0.29000000	56.99347522	2.23989486	0.39773162	5.63167403
1.08000000	63.00577103	0.47166535	0.08375225	5.63167403
0.52000000	71.18158984	0.65535839	0.11637009	5.63167403
1.08000000	68.36076447	0.36733367	0.06522637	5.63167403
0.27000000	69.25345197	1.40295264	0.24911823	5.63167403
1.33000000	70.54640233	0.26556948	0.04715640	5.63167403
0.57000000	71.68109655	0.58084988	0.10313983	5.63167403
0.80000000	65.57103047	0.56778739	0.10082036	5.63167403
0.45000000	68.62925891	0.86957053	0.15440711	5.63167403
1.26000000	71.23447231	0.26964804	0.04788062	5.63167403
1.17000000	68.13529397	0.34297612	0.06090127	5.63167403
0.81000000	66.37517065	0.54000670	0.09588742	5.63167403
1.03000000	70.54132640	0.34301655	0.06090845	5.63167403
0.51000000	67.57895656	0.80901960	0.14365526	5.63167403
1.08000000	69.44362076	0.34722838	0.06165633	5.63167403
0.94000000	73.51475478	0.31482277	0.05590216	5.63167403
1.07000000	69.31318601	0.35290237	0.06266385	5.63167403
0.87000000	67.59572892	0.47385916	0.08414179	5.63167403
0.38000000	67.45322997	1.09255324	0.19400151	5.63167403
